"","TED.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Swap.3M.spread","Swap.3M.5Y.spread","CHFHUF","CHF.ON","HUF.ON","CHFHUF.3M","HUN.5Y.USD.CDS","CHF.3M.Libor","CHF.ON.Libor","EMBI","FX.tender","CHF.OIS.3M","Swap.tender"
"11/2/2018",-0.912870971442935,-0.313673119966238,-0.193165052810145,-0.371134465928996,-0.106081087433361,0.673168602328183,2.0017770292171,0.744419714284819,-2.90897518710496,-0.676219886970543,0,0.174895421020602,-0.802685204003986,-0.278154662369215,-0.41609863877328,-0.127313460430331,-0.447960378572792
"11/20/2008",NA,0,0,0,NA,NA,1.3287434716408,0.0164625572673323,-0.0625082813078661,NA,NA,NA,NA,NA,NA,NA,NA
"11/20/2009",NA,0,0,0,NA,NA,-0.0539399872784418,-0.318234013943502,1.3337542107932,NA,NA,NA,NA,NA,NA,NA,NA
"11/20/2012",0.218326114841122,-0.257094719473787,-0.454915013525462,-0.495187025610587,-0.106081087433361,-0.490931966521159,0.0676070697135467,0.825509801350198,0.104287686220886,0.348516854594767,0,-0.21815832072005,-0.740255871580001,1.07714184941908,-7.22401679133512e-55,-0.318209894091882,2.6798335656631e-54
"11/20/2013",-1.3200179052707,0.00820645621748862,-0.0960164575762634,-0.0457579004217083,-0.106081087433361,2.38949616834602,-0.29085126831654,-0.0433536283293924,-1.36085106930355,-0.650868538826123,0,1.08413065865876,0.181462505509156,-1.57393903919959,-1.0161729547343e-71,-0.069034577011772,-1.89540175144679e-72
"11/20/2014",-0.348405375684543,0.109961356094191,-0.0847492254610318,-0.0196208426452297,-0.106081087433361,1.3485761149827,0.0339268042603389,0.0894092521165186,1.59152992184709,0.479150589939156,0,0.236593365230676,0.512397752202447,0.542307290345454,-0.141710164889728,1.47572827218272,-5.638197307909e-37
"11/20/2015",-1.58874788671694,0.187688280432069,0.457197743004863,0.44078671260184,-0.106081087433361,-1.0717298498853,-0.782443417028288,0.027960561319109,1.58161566396991,0.731026386142515,0,-0.0548080377265167,0.568173296047532,-0.269551069353923,5.98185394528685e-73,-0.785196301592512,2.33534159518984e-73
"11/20/2017",-2.32046809868123,-0.212036765137434,-0.0229384508127095,0.159130066207919,-0.0794070615368252,0.956544011381523,-0.462979860765937,-0.420922524363269,0.447148656822451,0.140386885206941,0,0.15340830583156,1.34432868396107,0.015858824974616,-0.141710164889728,-1.22452513404648e-05,-0.100781852239845
"11/20/2018",-0.433685286130563,-0.321576032096714,-0.0653365729034927,-0.066952836746715,-0.0536607448094117,0.747997910976924,0.0240865007225308,-0.5577851394179,-0.718022320946741,0.0322813796818801,0,0.153522212172482,-0.32408746416521,0.66333638614963,-0.219689547849452,0.00257014896414666,-0.181759434264421
"11/21/2008",NA,0,0,0,NA,NA,2.67633374987361,-0.229955355875036,0.51121147845602,NA,NA,NA,NA,NA,NA,NA,NA
